"year","state","n_jobs","population","jobs_per_cap","jobs_per_10k","log_jobs_per_10k","jobs_pct"
2024,"Maryland",1529588,6263220,0.244217511120478,2442.17511120478,7.80064436020981,0.4
2023,"Massachusetts",2322213,7066568,0.328619635443967,3286.19635443967,8.09748605166274,0.92
2022,"Mississippi",521605,2941939,0.177299733271152,1772.99733271152,7.48042680168025,0
2023,"Florida",4688341,22904868,0.204687536291412,2046.87536291412,7.62406969612516,0.16
2023,"Missouri",1683336,6208038,0.271154268063436,2711.54268063436,7.9052730067563,0.66
2021,"New Jersey",1959836,9270541,0.211404706586164,2114.04706586164,7.65635943007148,0.4
2023,"New Mexico",527912,2121164,0.248878445985317,2488.78445985318,7.81954970153194,0.42
2021,"Alabama",807164,5049196,0.159859906408862,1598.59906408862,7.37688293973486,0.06
2020,"Delaware",67813,991928,0.0683648409965239,683.648409965239,6.52744376495006,0.8
2024,"Oklahoma",905511,4095393,0.221104787745645,2211.04787745645,7.70122183483216,0.26
2020,"Connecticut",213922,3579918,0.0597561173188883,597.561173188883,6.39285666047108,0.48
2021,"Wisconsin",1450968,5881608,0.246695801556309,2466.95801556309,7.81074109796666,0.86
2024,"Missouri",1685087,6245466,0.269809650713013,2698.09650713013,7.90030180600571,0.6
2022,"Maryland",1871197,6192440,0.302174425589913,3021.74425589913,8.01358951181913,0.52
2017,"Illinois",171931,12779893,0.0134532425271479,134.532425271479,4.90180525007211,0.46
2022,"Florida",5758743,22379312,0.257324398533789,2573.24398533789,7.85292263302432,0.24
2022,"Wyoming",174505,581978,0.299848104223871,2998.48104223871,8.00586112017361,0.46
2021,"Kentucky",838263,4507583,0.1859672911181,1859.672911181,7.52815589703932,0.22
2024,"New Mexico",626505,2130256,0.294098455772452,2940.98455772452,7.9864996878515,0.78
2022,"Louisiana",880775,4593687,0.19173596285511,1917.3596285511,7.55870432511253,0.04
2023,"Oregon",1130785,4253653,0.265838562760056,2658.38562760056,7.88547431061611,0.64
2023,"Connecticut",922113,3643023,0.253117534531075,2531.17534531075,7.83643903720935,0.5
2019,"Missouri",64468,6140475,0.010498862058717,104.98862058717,4.6538519689242,0.64
2020,"Idaho",107650,1849415,0.0582075953747536,582.075953747536,6.36660094393729,0.38
2024,"District of Columbia",434863,702250,0.61924243503026,6192.4243503026,8.73108194494696,1
2022,"West Virginia",413007,1774122,0.232795151629933,2327.95151629933,7.75274398230255,0.1
2021,"New Mexico",384340,2117333,0.181520809433377,1815.20809433377,7.50395539265234,0.18
2022,"Arizona",2155517,7377566,0.292171835534918,2921.71835534918,7.97992720003644,0.42
2023,"North Carolina",2711837,10881189,0.249222488461509,2492.22488461509,7.82093111845815,0.44
2022,"Colorado",2185864,5850935,0.373592254913104,3735.92254913104,8.2257500681732,0.92
2024,"Kansas",838244,2970606,0.282179461025797,2821.79461025797,7.94512834814037,0.72
2017,"Wisconsin",78856,5793147,0.0136119452863875,136.119452863875,4.91353283011151,0.5
2024,"Wisconsin",1673176,5960975,0.280688310217708,2806.88310217708,7.939829930385,0.68
2022,"Nebraska",674176,1972246,0.341831597072576,3418.31597072576,8.13690330256436,0.84
2022,"Arkansas",665369,3047704,0.218318117507474,2183.18117507474,7.68853834672721,0.06
2021,"Arizona",1590800,7274078,0.21869438298572,2186.9438298572,7.69026033669682,0.52
2020,"Washington",515557,7727209,0.0667196914176904,667.196914176904,6.50308522599923,0.72
2024,"Wyoming",195831,587618,0.333262425589414,3332.62425589414,8.11151533744752,0.86
2020,"Nebraska",136084,1963387,0.0693108388718067,693.108388718067,6.54118639203648,0.84
2023,"Indiana",1798075,6880131,0.261343134309507,2613.43134309507,7.86841932770845,0.62
2020,"Missouri",390551,6154744,0.0634552793747392,634.552793747392,6.45292048896871,0.6
2023,"Arizona",1727636,7473027,0.231182892822413,2311.82892822413,7.74579423407201,0.32
2023,"South Carolina",1328334,5387830,0.246543413582092,2465.43413582091,7.81012319097797,0.4
2020,"Iowa",215511,3191141,0.0675341515777585,675.341515777586,6.51521851222346,0.74
2020,"New York",930872,20105171,0.0463001284594894,463.001284594894,6.1377298285854,0.1
2022,"District of Columbia",602770,676725,0.890716317558831,8907.16317558831,9.0946110831909,1
2020,"Ohio",754327,11798905,0.0639319496173586,639.319496173586,6.46040432343405,0.62
2019,"Iowa",35607,3159596,0.0112694787561448,112.694787561448,4.72468316941223,0.78
2021,"Massachusetts",2080312,7000474,0.297167306099558,2971.67306099558,7.99688039339201,0.98
2024,"Arizona",1703369,7582384,0.224648210905699,2246.48210905699,7.71712076455996,0.28
2024,"Colorado",1693193,5957493,0.284212335625069,2842.12335625069,7.95230671244791,0.74
2021,"Michigan",1982540,10041351,0.197437575879979,1974.37575879979,7.58800755588032,0.34
2018,"Oregon",95798,4183538,0.0228988000108999,228.988000108999,5.4336696009105,0.84
2022,"Idaho",483059,1944299,0.24844892683687,2484.4892683687,7.81782239160004,0.16
2020,"Massachusetts",581854,6994598,0.0831861959758088,831.861959758088,6.7236665133037,0.96
2023,"Nevada",635333,3214363,0.197654403065242,1976.54403065242,7.58910515957053,0.12
2024,"Arkansas",670368,3088354,0.217063199361213,2170.63199361213,7.6827736454279,0.22
2022,"Vermont",234866,648142,0.362368123034767,3623.68123034767,8.19524570257326,0.88
2021,"Washington",1869365,7743760,0.241402755250679,2414.02755250679,7.78905181522399,0.82
2018,"Montana",17172,1061818,0.0161722630431957,161.722630431957,5.08588270998754,0.12
